"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
24.5190940208259,23.6961198914649,24.418075335176,24.4274405766704,23.3489042209374,24.4715977536675,24.4652192727684,24.3632191324213,24.5129923354918,24.4608806972129,24.4027955377436,24.4500739745894,24.1482595991532,24.3937480263697,24.4175602420207,24.4508171316962,24.0397016455691,24.4375041421872,22.1332444143825,24.1885547957756,24.4070649144078,24.2773701107572,23.7380475971416,23.7838163285992,23.8669144506778,21.2185408195488,21.8187973427626,21.0854903569883,19.0788745531311,23.8637814952418,19.0850313051886,20.8621265696453,21.3385731188623,22.2588287064291,24.1706137649265,23.9082593262562
23.6961198914649,24.5671969965732,23.6497980561934,23.6284955186408,22.547347635737,23.7231074590557,23.675656999614,23.6441476256009,23.7220918922291,23.6837405996717,23.6851299379744,23.6504890704737,23.4437359409295,23.6809828776603,23.614317542991,23.6512721875037,23.2359453153325,23.6686454950547,21.4367731679837,23.4070001013618,23.606840164206,23.7971653795023,23.0344595858982,22.9834219923823,23.1231277314069,20.382843840519,21.1958806192424,20.272281555669,18.222393540917,23.0784150140152,18.2190997711563,20.3655753059371,20.5295693684773,21.5061470057347,23.4272641682293,23.1612153859349
24.418075335176,23.6497980561934,24.5239281968913,24.4238656254995,23.3640831439298,24.4092924364637,24.4464098445656,24.3732822106219,24.4922969938442,24.4218681166596,24.330681521362,24.4020153446105,24.1844408729586,24.4052145750408,24.4263621460623,24.4108971684983,24.0416743012861,24.4208700932138,22.1352940660489,24.1929255341959,24.3780700916544,24.2627506266886,23.7719872167231,23.7791454034393,23.8030584935304,21.2352362703552,21.7751801120437,21.0569350933893,19.0476288171473,23.8168505148008,19.0574126632022,20.8439565002125,21.2828197671019,22.1883652297988,24.106103342209,23.8719347815069
24.4274405766704,23.6284955186408,24.4238656254995,24.4822402507534,23.3965325507686,24.4304088192525,24.4209349062599,24.330254145111,24.4800078555361,24.4173238936949,24.355302194482,24.4100282838285,24.1422758443239,24.3680455114285,24.449896591516,24.4350665868768,24.0606830417883,24.4561176693034,22.0832550378742,24.226331542609,24.3797157582444,24.2617170291649,23.7026664964309,23.7875243170752,23.84336538574,21.259004627554,21.8124870861224,21.0379234289902,19.0377606654009,23.8188114749305,19.0540511564987,20.813383747812,21.3190882704955,22.2130974983139,24.1204280000156,23.879049597087
23.3489042209374,22.547347635737,23.3640831439298,23.3965325507686,24.7823821572121,23.368880771285,23.3542968612942,23.2515365077756,23.4181708491386,23.360979427462,23.2806268444916,23.3402948067694,23.1202969119751,23.3226525007115,23.4207799397287,23.3850942664333,23.8461011785253,23.4136188291158,21.1799210158007,23.23862409213,23.2889453309266,23.2258052411825,23.5109958012842,23.5393951237198,23.3995651190806,21.742486559821,22.3351302303641,21.3719445278297,19.6870801771492,23.5791898466709,19.7194521007224,21.1950585169216,21.7634976823245,21.2981673014772,23.8403786251447,24.705401314584
24.4715977536675,23.7231074590557,24.4092924364637,24.4304088192525,23.368880771285,24.6327244480657,24.4674151192755,24.3708626860086,24.5527773121201,24.4728253030132,24.3928513646801,24.455016822153,24.1763952835595,24.4157561976866,24.419242944637,24.4524072442467,24.0206422241888,24.4543184981307,22.168758065082,24.2169126963397,24.4188706351094,24.2474430522364,23.7474976316436,23.7986945775359,23.926576565162,21.2311476879773,21.8685420865707,21.0779554748993,19.0856701766424,23.8791636290628,19.0809778095724,20.9116096246886,21.3419999259279,22.2838026837474,24.1759718058377,23.9171538203636
24.4652192727684,23.675656999614,24.4464098445656,24.4209349062599,23.3542968612942,24.4674151192755,24.535576027165,24.3770993579123,24.5415256698648,24.4823723134261,24.397902883742,24.445739297563,24.1354514691607,24.4094717688016,24.4277441746229,24.4540763020113,24.0487988631889,24.4352644372278,22.1404016264663,24.1993493354957,24.4307392195924,24.2702128986733,23.7683552495643,23.7924657026904,23.855438643,21.2261989926201,21.8134748759293,21.1121177979548,19.0867481199343,23.8669670808204,19.0920018751925,20.88427752459,21.3239492489484,22.2443788083756,24.16550230598,23.9242530418273
24.3632191324213,23.6441476256009,24.3732822106219,24.330254145111,23.2515365077756,24.3708626860086,24.3770993579123,24.4273119252106,24.440216543798,24.3762480166233,24.3097449582273,24.3451869734549,24.1488429165676,24.3475684874097,24.325977946021,24.3508403279443,23.936170357924,24.3891813868627,22.0942693571715,24.1004860491137,24.3328851649273,24.1683004752307,23.7110921924158,23.7064095716686,23.7592736260609,21.1326528125938,21.7771810320966,20.9875276308249,18.9723321390839,23.7653943167243,18.9715568191121,20.813118160518,21.2303226617597,22.1548992815011,24.1221360430709,23.8211603387042
24.5129923354918,23.7220918922291,24.4922969938442,24.4800078555361,23.4181708491386,24.5527773121201,24.5415256698648,24.440216543798,24.6542365315566,24.5371856323609,24.438585009376,24.5047298904123,24.1889568315874,24.4498166716698,24.4757199608588,24.5082736533506,24.0866623522945,24.4872717898537,22.2000944418671,24.2753531092719,24.5008206403724,24.3152686866245,23.8212412331827,23.856710538114,23.918790227947,21.2946600872491,21.8829047550359,21.158050267634,19.147410694445,23.9206040186038,19.1326347818968,20.9263304705135,21.3825641210571,22.3242786746561,24.2224247291497,23.9900270752845
24.4608806972129,23.6837405996717,24.4218681166596,24.4173238936949,23.360979427462,24.4728253030132,24.4823723134261,24.3762480166233,24.5371856323609,24.5234379568589,24.39842772322,24.4504891679369,24.133939814508,24.3933201628026,24.4241507054388,24.4497698893208,24.0444295867169,24.434427715423,22.134946122328,24.1873979072696,24.4222019282125,24.2700818106328,23.7525730291961,23.7911762641955,23.8637196060926,21.2338864046595,21.8046797943136,21.1063338427411,19.0772727449933,23.865646941409,19.0846726405127,20.8995149255186,21.3260339873766,22.2458963108219,24.1561307293758,23.9279361771803
