frm,to,len_mi
1001,1002,6.23041496412151
1001,1024,9.23322482299839
1002,1006,4.50224561407263
1003,1016,6.14439458235896
1003,1025,4.43463845422249
1004,1005,5.34183755294617
1004,1016,6.63647374502154
1005,1036,13.388096940485
1006,1008,3.99218359759901
1007,1008,3.21536753342388
1008,1015,1.71497506772363
1009,1011,1.75274873940749
1009,1016,4.00145666907684
1010,1011,1.9728233949125
1010,1018,8.21684516237319
1010,1020,1.00509878822142
1012,1014,1.23155297395924
1012,1022,1.44423222849681
1013,1021,2.37712580440616
1013,1022,1.52147414888841
1014,1019,10.2829742770681
1014,1023,15.823268864047
1015,1021,3.14506004440894
1017,1018,7.50045656476646
1017,1035,14.8272210185861
1019,1034,13.5455949828027
1020,1021,1.08105278384598
1023,1027,13.9762600060048
1024,1030,5.21460053519099
1026,1028,21.1350448122211
1026,1033,3.15686819394494
1027,1028,11.1395838996091
1028,1032,9.84480586345354
1029,1031,6.14508794265687
1030,1031,13.2349597235142
