frm,to,len_mi
49047271,1447909504,0.0262775028749504
1447909504,49047272,0.00678132728005469
49056173,49056174,0.138234933515829
49346946,49346947,0.0218886215393112
49346947,1447909508,0.0171686161843774
1447909508,49346948,0.00808233892940997
49497754,49573569,0.177169196503372
49692747,49132901,0.0492291785013461
49132901,1447909510,0.0179478583475283
1447909510,49692749,0.00633900443109107
49133425,49723543,0.0374101282842413
49723543,49723545,0.00759037463115698
49723545,49497748,0.0575416484136247
49497748,49400967,0.0654649115867977
49400967,49692747,0.0436916900800986
49692747,49723548,0.0528903700794657
49723548,1447939098,0.01256326599675
1447939098,49723551,0.00591589739054875
49072641,49072642,0.0266899713605149
49115041,1217872577,0.00838079996660374
1217872577,49115042,0.100171015951726
49115042,49115043,0.0363280955297647
49121400,49121401,0.0176341959098185
49121401,1447932584,0.0138729974483809
1447932584,49121402,0.00708091547882861
49132894,1447909518,0.00628318718619016
1447909518,49132896,0.00883968156741888
49132896,49132898,0.00543139916425896
49132898,49132900,0.00634332646068498
49132900,49132901,0.0563033896448239
49132901,49132902,0.0318366216301849
49132902,49132905,0.0102346207255648
49132905,1447909517,0.0112535677170513
1447909517,49132907,0.00579593205426882
49252605,49252607,0.172967389255763
49266939,49056173,0.0474887963620369
49307568,49307570,0.0201073938868826
49307570,49307572,0.0119859995855875
49307572,49307573,0.014182936303698
49307573,49307574,0.0190883583252965
49388644,49121400,0.0517600878553087
49133429,49389402,0.0272361682635563
49115042,49364293,0.057174196360308
49364293,49364294,0.0311957692427279
49364294,49133433,0.0361029087761239
49497748,49497750,0.0347572348892291
49497750,49497752,0.047950990573929
49497752,49252605,0.0485322140602713
49252605,49497754,0.048705028888308
49497754,49497756,0.0470827420008146
49529420,49529422,0.0124794302537974
49585619,1447909516,0.00669814220120156
1447909516,49585620,0.0193292944121997
49585620,49585622,0.00504547447265174
49585622,49585625,0.0055198100328992
49585625,49529190,0.0430645826831068
49529190,49585628,0.0197535348653921
49585628,49307568,0.0305397675470725
49307568,49346946,0.0476052972147968
49346946,49585633,0.0161934743481537
49133420,49591016,0.0297314697962943
49591016,49591018,0.00949227502820816
49591018,49591020,0.0140607810129118
49591020,49072641,0.013914558466385
49072641,49591023,0.0081619188576849
49591023,49591025,0.0116212964575439
49591025,49591027,0.0195034014921397
49591027,49591029,0.0157863501377458
49591029,49591031,0.0469745292870982
49591031,49591032,0.00785212386629397
49591032,49400949,0.0141753068611289
49252607,49635825,0.00368173144450029
49635825,49635827,0.00409261120977429
49635827,49635829,0.00464458007208611
49635829,49573569,0.040348938228847
49573569,49564569,0.0483242061353857
49564569,49056174,0.0470203576108481
49564557,1447932578,0.0271991540592268
1447932578,49668393,0.00732542429159967
49115043,49672360,0.00355158653990243
49672360,49672362,0.00379669097618559
49672362,49672363,0.00386348822835234
49672363,49672366,0.00394891060532722
49672366,49672368,0.0700287328406088
49672368,49672370,0.0114350379692173
49672370,49133437,0.0426469313808826
49400955,49731101,0.00806966674492285
49731101,49731103,0.103342755762498
49731103,49731105,0.00402434321800431
49731105,49731106,0.00582033781620275
49731106,49400966,0.0452070752604129
49739155,49364293,0.0334461349823002
1217872628,1217872620,0.00201570565113341
1217872620,1217872559,0.00240396565801724
1217872559,1217872568,0.00526399056459496
1217872568,1217872602,0.0106510421345181
1217872668,1217872675,0.00423566190841372
1217872675,1217872559,0.00341033372223524
1217872600,1217872628,0.00228818791620206
49133422,1217872685,0.00740759742193263
1217872685,1217872696,0.015481340283677
1217872696,1217872653,0.00345209326539616
1217872653,1217872710,0.00346116742489266
1217872710,1217872705,0.00585266107304554
1217872705,1217872637,0.00439693618676402
